,postalCode,Gemeente,Province
393,4980,Trois-Ponts,Liège
394,4987,Stoumont,Liège
395,4990,Lierneux,Liège
396,5000,Namur,Namur
398,5030,Gembloux,Namur
400,5060,Sambreville,Namur
401,5070,Fosses-la-Ville,Namur
402,5080,La Bruyère,Namur
403,5140,Sombreffe,Namur
404,5150,Floreffe,Namur
405,5170,Profondeville,Namur
406,5190,Jemeppe-sur-Sambre,Namur
407,5300,Andenne,Namur
408,5310,Éghezée,Namur
409,5330,Assesse,Namur
410,5340,Gesves,Namur
411,5350,Ohey,Namur
412,5360,Hamois,Namur
413,5370,Havelange,Namur
414,5377,Somme-Leuze,Namur
415,5380,Fernelmont,Namur
416,5500,Dinant,Namur
417,5520,Onhaye,Namur
418,5530,Yvoir,Namur
419,5537,Anhée,Namur
420,5540,Hastière,Namur
421,5550,Vresse-sur-Semois,Namur
422,5555,Bièvre,Namur
423,5560,Houyet,Namur
424,5570,Beauraing,Namur
425,5575,Gedinne,Namur
426,5580,Rochefort,Namur
427,5590,Ciney,Namur
428,5600,Philippeville,Namur
429,5620,Florennes,Namur
430,5630,Cerfontaine,Namur
431,5640,Mettet,Namur
432,5650,Walcourt,Namur
433,5660,Couvin,Namur
434,5670,Viroinval,Namur
435,5680,Doische,Namur
436,6000,Charleroi,Hainaut
437,6110,Montigny-le-Tilleul,Hainaut
438,6120,Ham-sur-Heure-Nalinnes,Hainaut
439,6140,Fontaine-l'Évêque,Hainaut
440,6150,Anderlues,Hainaut
441,6180,Courcelles,Hainaut
442,6200,Châtelet,Hainaut
443,6210,Les Bons Villers,Hainaut
444,6220,Fleurus,Hainaut
445,6230,Pont-à-Celles,Hainaut
446,6240,Farciennes,Hainaut
447,6250,Aiseau-Presles,Hainaut
448,6280,Gerpinnes,Hainaut
449,6440,Froidchapelle,Hainaut
450,6460,Chimay,Hainaut
451,6470,Sivry-Rance,Hainaut
452,6500,Beaumont,Hainaut
453,6530,Thuin,Hainaut
454,6540,Lobbes,Hainaut
455,6560,Erquelinnes,Hainaut
456,6567,Merbes-le-Château,Hainaut
457,6590,Momignies,Hainaut
458,6600,Bastogne,Luxembourg
460,6630,Martelange,Luxembourg
461,6637,Fauvillers,Luxembourg
462,6640,Vaux-sur-Sûre,Luxembourg
463,6660,Houffalize,Luxembourg
464,6670,Gouvy,Luxembourg
465,6680,Sainte-Ode,Luxembourg
466,6687,Bertogne,Luxembourg
467,6690,Vielsalm,Luxembourg
468,6700,Arlon,Luxembourg
470,6717,Attert,Luxembourg
471,6720,Habay,Luxembourg
472,6730,Tintigny,Luxembourg
473,6740,Étalle,Luxembourg
474,6747,Saint-Léger,Luxembourg
475,6750,Musson,Luxembourg
476,6760,Virton,Luxembourg
477,6767,Rouvroy,Luxembourg
478,6769,Meix-devant-Virton,Luxembourg
479,6780,Messancy,Luxembourg
480,6790,Aubange,Luxembourg
481,6800,Libramont-Chevigny,Luxembourg
482,6810,Chiny,Luxembourg
483,6820,Florenville,Luxembourg
484,6830,Bouillon,Luxembourg
485,6840,Neufchâteau,Luxembourg
486,6850,Paliseul,Luxembourg
487,6860,Léglise,Luxembourg
488,6870,Saint-Hubert,Luxembourg
489,6880,Bertrix,Luxembourg
490,6887,Herbeumont,Luxembourg
491,6890,Libin,Luxembourg
492,6900,Marche-en-Famenne,Luxembourg
493,6920,Wellin,Luxembourg
494,6927,Tellin,Luxembourg
495,6929,Daverdisse,Luxembourg
496,6940,Durbuy,Luxembourg
497,6950,Nassogne,Luxembourg
498,6960,Manhay,Luxembourg
499,6970,Tenneville,Luxembourg
500,6980,La Roche-en-Ardenne,Luxembourg
501,6987,Rendeux,Luxembourg
502,6990,Hotton,Luxembourg
503,6997,Érezée,Luxembourg
504,7000,Mons,Hainaut
506,7040,Quévy,Hainaut
507,7050,Jurbise,Hainaut
509,7060,Soignies,Hainaut
511,7070,Le Roeulx,Hainaut
512,7080,Frameries,Hainaut
513,7090,Braine-le-Comte,Hainaut
515,7100,La Louvière,Hainaut
516,7120,Estinnes,Hainaut
517,7130,Binche,Hainaut
518,7140,Morlanwelz,Hainaut
519,7160,Chapelle-lez-Herlaimont,Hainaut
520,7170,Manage,Hainaut
521,7180,Seneffe,Hainaut
522,7190,Écaussinnes,Hainaut
523,7300,Boussu,Hainaut
524,7320,Bernissart,Hainaut
525,7330,Saint-Ghislain,Hainaut
526,7340,Colfontaine,Hainaut
527,7350,Hensies,Hainaut
528,7370,Dour,Hainaut
529,7380,Quiévrain,Hainaut
530,7387,Honnelles,Hainaut
531,7390,Quaregnon,Hainaut
532,7500,Tournai,Hainaut
534,7600,Péruwelz,Hainaut
535,7610,Rumes,Hainaut
536,7620,Brunehaut,Hainaut
537,7640,Antoing,Hainaut
538,7700,Mouscron,Hainaut
540,7730,Estaimpuis,Hainaut
542,7740,Pecq,Hainaut
543,7750,Mont-de-l'Enclus,Hainaut
544,7760,Celles,Hainaut
545,7780,Comines-Warneton,Hainaut
547,7800,Ath,Hainaut
549,7830,Silly,Hainaut
551,7850,Enghien,Hainaut
553,7860,Lessines,Hainaut
555,7870,Lens,Hainaut
556,7880,Flobecq,Hainaut
558,7890,Ellezelles,Hainaut
560,7900,Leuze-en-Hainaut,Hainaut
561,7910,Frasnes-lez-Anvaing,Hainaut
562,7940,Brugelette,Hainaut
563,7950,Chièvres,Hainaut
564,7970,Beloeil,Hainaut
565,8000,Brugge,West-Vlaanderen
567,8020,Oostkamp,West-Vlaanderen
